STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,PRODUCT_CATEGORIES,Product categories,UNIT_MEASURE,Unit of measure,MEASURE,Measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,JPN,Japan,A,Annual,EE6,Total,KG_PS,Kilogrammes per person,GEN,Total waste generated,2014,,19.63586,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,JPN,Japan,A,Annual,EE6,Total,KG_PS,Kilogrammes per person,GEN,Total waste generated,2015,,19.92266,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,JPN,Japan,A,Annual,EE6,Total,KG_PS,Kilogrammes per person,GEN,Total waste generated,2016,,20.08789,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,JPN,Japan,A,Annual,EE6,Total,KG_PS,Kilogrammes per person,GEN,Total waste generated,2017,,20.17121,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,JPN,Japan,A,Annual,EE6,Total,KG_PS,Kilogrammes per person,GEN,Total waste generated,2018,,20.23021,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,JPN,Japan,A,Annual,EE6,Total,KG_PS,Kilogrammes per person,GEN,Total waste generated,2019,,20.29914,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,JPN,Japan,A,Annual,EE6,Total,KG_PS,Kilogrammes per person,GEN,Total waste generated,2020,,20.4042,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,JPN,Japan,A,Annual,EE6,Total,KG_PS,Kilogrammes per person,GEN,Total waste generated,2021,,20.54943,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,JPN,Japan,A,Annual,EE6,Total,KG_PS,Kilogrammes per person,GEN,Total waste generated,2022,,21.11379,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,JPN,Japan,A,Annual,EE_LE,Large equipment,KG_PS,Kilogrammes per person,GEN,Total waste generated,2010,,4.829821,,A,Normal value,0,Units,2,Two
